"sight_name","sight_id","level","location","price","score","num_comment","city_id","address"
"东天目山","1000246794","4A景区","119.533229,30.317248","9","4.7","551","hangzhou","浙江省杭州市临安市太湖源镇东天目村"
"水木清华","1000335831","0","116.328215,40.002747","0","4","1","beijing","北京市海淀区清华大学"
"成都锦江川剧院","1000447180","0","104.086415,30.665352","0","4.9","1541","chengdu","四川省成都市锦江区华兴正街54号"
"上海胜利草莓园","1000700861","0","0.0,0.0","0","5","2","shanghai","上海市青浦区胜利路（友爱社区旁）"
"百里竹海观音洞景区","1000811646","0","107.575387,30.691644","0","4.5","24","chongqing","重庆梁平县丛林乡杉树湾村"
"北京光洞穴之奇点密室","1000842952","0","116.35709,39.768086","0","0","0","beijing","北京市大兴区金星路12号院2号楼2层0218"
"耕岛","100114121","0","120.557101,31.217479","0","0","0","suzhou","江苏省苏州市吴中区尧旺路"
"四川大学美术馆","1001622758","0","104.001701,30.561616","0","0","0","chengdu","四川省成都市双流县四川大学美术馆"
"雁荡路步行休闲街","1003474603","0","121.469755,31.219357","0","4","1","shanghai","上海市卢湾区北部"
"天寿庵","100376092","0","116.39455393769,39.940212941945","0","0","0","beijing","在西城区龙头井42号"
"成都易达专车","1004220791","0","103.965704,30.574579","0","0","0","chengdu","四川省成都市双流国际机场T2航站楼出口"
"金星游泳馆","1004812673","0","116.386736,39.770651","0","3.3","3","beijing","北京市大兴区西红门镇金华园小区"
"周庄沈记农家菜馆","1005048233","0","120.856163,31.118393","0","0","0","suzhou","江苏省苏州昆山市周庄古镇西湾街20号"
"慕和南道游泳馆","1005178874","0","104.05876,30.534046","0","0","0","chengdu","四川省成都市双流县华府大道1段慕和南道小区"
"月光码头","1005492022","0","120.711335,31.327109","0","4.6","131","suzhou","浙江苏州工业园区雕塑路与翠园路交汇处"
"飞龙谷自然风景区","1005495402","0","117.26160742924,40.219277470715","0","0","0","beijing","北京市平谷区胡关路京东大溶洞"
"长藤鬼校","1005610160","0","104.063732,30.680106","0","4.3","7","chengdu","四川省成都市青羊区西大街1号新城市广场D栋3楼"
"缙云大众温泉","1005870191","0","106.376691,29.864016","0","0","0","chongqing","重庆市北碚区"
"锁岛","1005951756","0","119.015194,29.62147","0","0","0","hangzhou","浙江省杭州市淳安县千岛湖五龙岛景区"
"惠聚游泳馆","100665006","0","116.505102,39.884885","0","4.7","23","beijing","北京市朝阳区东四环窑洼湖桥东500米"
"北京中体奥冰壶俱乐部","1006671070","0","116.632517,40.323216","0","0","0","beijing","北京市怀柔府前西街9号"
"古陶文明博物馆","1006825764","0","116.363733,39.879194","0","4.3","14","beijing","北京市西城区右安门内西街12号"
"御食园","1008414409","0","116.692197,40.353691","0","0","0","beijing","北京市怀柔区雁栖经济开发区乐园大街31号"
