hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY,postTime
3313598729,"39.992178,116.316273",12,http://bj.xiaozhu.com/fangzi/3313598729.html,单间出租,0,,10811700,http://www.xiaozhu.com/fangdong/10811700/,1,12,0室2厅0卫0厨0阳台,0,2,0,0,0,3,4,可能与其他房客分住不同房间,2,bj,
1824677935,"39.976447,116.379815",49,http://bj.xiaozhu.com/fangzi/1824677935.html,床位出租,5,海淀北太平庄马甸西路月季园小区(牡丹园地铁东南600米),606183100,http://www.xiaozhu.com/fangdong/606183100/,1,15,3室2厅1卫1厨1阳台,3,2,1,1,1,1,3,可能与其他房客分享一个房间,1,bj,
2299336144,"39.976447,116.379815",49,http://bj.xiaozhu.com/fangzi/2299336144.html,床位出租,5,海淀北太平庄马甸西路月季园小区(牡丹园地铁东南600米),606183100,http://www.xiaozhu.com/fangdong/606183100/,1,20,3室1厅1卫1厨1阳台,3,1,1,1,1,1,3,可能与其他房客分享一个房间,1,bj,
2091350781,"40.154864,116.307248",49,http://bj.xiaozhu.com/fangzi/2091350781.html,单间出租,4,昌平于辛新村6号楼,798137338,http://www.xiaozhu.com/fangdong/798137338/,1,15,3室2厅2卫1厨2阳台,3,2,2,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
2290427944,"39.852753,116.380203",49,http://bj.xiaozhu.com/fangzi/2290427944.html,沙发出租,5,丰台角门西晨光小区,1748391135,http://www.xiaozhu.com/fangdong/1748391135/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
3988887630,"39.875514,116.479568",49,http://bj.xiaozhu.com/fangzi/3988887630.html,床位出租,5,朝阳南新园小区,1432376735,http://www.xiaozhu.com/fangdong/1432376735/,1,10,3室1厅1卫1厨1阳台,3,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
2298361844,"40.151654,116.290328",43,http://bj.xiaozhu.com/fangzi/2298361844.html,床位出租,4,昌平沙河地铁站巩华家园东一村,551335900,http://www.xiaozhu.com/fangdong/551335900/,1,40,3室1厅2卫1厨2阳台,3,1,2,1,2,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
3868954529,"39.969485,116.844486",48,http://bj.xiaozhu.com/fangzi/3868954529.html,单间出租,5,燕郊学院大街燕高路上上城福成六期,3285612129,http://www.xiaozhu.com/fangdong/3285612129/,1,12,2室1厅1卫1厨1阳台,2,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,2,bj,
2068622482,"40.154501,116.306609",49,http://bj.xiaozhu.com/fangzi/2068622482.html,单间出租,4,昌平于辛新村,798137338,http://www.xiaozhu.com/fangdong/798137338/,1,15,3室2厅2卫1厨2阳台,3,2,2,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
4954832513,"39.808457,116.250367",35,http://bj.xiaozhu.com/fangzi/4954832513.html,床位出租,1,通州新华大街甲127号,3005969129,http://www.xiaozhu.com/fangdong/3005969129/,2,90,2室2厅1卫1厨1阳台,2,2,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
2074252882,"40.154864,116.307248",39,http://bj.xiaozhu.com/fangzi/2074252882.html,床位出租,4,昌平于辛新村6号楼,798137338,http://www.xiaozhu.com/fangdong/798137338/,1,15,3室2厅2卫1厨2阳台,3,2,2,1,2,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
4758080213,"39.908468,116.658779",45,http://bj.xiaozhu.com/fangzi/4758080213.html,单间出租,0,通州后南仓,3005969129,http://www.xiaozhu.com/fangdong/3005969129/,1,10,3室0厅1卫0厨0阳台,3,0,1,0,0,2,4,可能与其他房客分住不同房间,1,bj,
64389600,"39.963867,116.816795",35,http://bj.xiaozhu.com/fangzi/64389600.html,单间出租,2,燕郊海油大街,35899600,http://www.xiaozhu.com/fangdong/35899600/,1,9,1室0厅1卫0厨0阳台,1,0,1,0,0,2,4,可能与其他房客分住不同房间,1,bj,
3970381029,"39.923512,116.655699",50,http://bj.xiaozhu.com/fangzi/3970381029.html,单间出租,0,通州永顺南里2号院,3005969129,http://www.xiaozhu.com/fangdong/3005969129/,1,20,2室2厅1卫1厨1阳台,2,2,1,1,1,2,4,可能与其他房客分住不同房间,1,bj,
5189137914,"39.813944,116.376754",50,http://bj.xiaozhu.com/fangzi/5189137914.html,沙发出租,0,丰台南庭新苑北区1号楼,1866246735,http://www.xiaozhu.com/fangdong/1866246735/,1,20,2室1厅1卫1厨0阳台,2,1,1,1,0,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
5268123013,"39.9245,116.65807",50,http://bj.xiaozhu.com/fangzi/5268123013.html,沙发出租,0,通州永顺东里2号院,3500853929,http://www.xiaozhu.com/fangdong/3500853929/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
1783642435,"40.130844,116.22226",50,http://bj.xiaozhu.com/fangzi/1783642435.html,单间出租,4,海淀上庄镇,1684462335,http://www.xiaozhu.com/fangdong/1684462335/,1,12,3室1厅1卫1厨1阳台,3,1,1,1,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
4213983030,"39.908146,116.636023",50,http://bj.xiaozhu.com/fangzi/4213983030.html,单间出租,0,通州新华联锦园,3572491729,http://www.xiaozhu.com/fangdong/3572491729/,1,40,3室1厅1卫1厨1阳台,3,1,1,1,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
4758269714,"39.941905,116.681152",55,http://bj.xiaozhu.com/fangzi/4758269714.html,单间出租,0,通州新华联培训中心,3005969129,http://www.xiaozhu.com/fangdong/3005969129/,1,20,3室0厅1卫0厨0阳台,3,0,1,0,0,2,4,可能与其他房客分住不同房间,1,bj,
3676964329,"39.920278,116.551623",58,http://bj.xiaozhu.com/fangzi/3676964329.html,沙发出租,4,朝阳朝阳路大黄庄桥东大黄庄南里9号楼,1551705935,http://www.xiaozhu.com/fangdong/1551705935/,2,80,2室2厅1卫1厨0阳台,2,2,1,1,0,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,2016-07-11
3461294330,"39.814056,116.448247",58,http://bj.xiaozhu.com/fangzi/3461294330.html,单间出租,3,大兴清欣园小区17号楼,3461247129,http://www.xiaozhu.com/fangdong/3461247129/,1,20,6室2厅4卫1厨3阳台,6,2,4,1,3,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
3492688729,"40.041761,116.311588",58,http://bj.xiaozhu.com/fangzi/3492688729.html,床位出租,4,海淀马连洼北路一号院,3442024229,http://www.xiaozhu.com/fangdong/3442024229/,1,25,2室1厅1卫1厨1阳台,2,1,1,1,1,2,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
2215104236,"40.151564,116.290301",57,http://bj.xiaozhu.com/fangzi/2215104236.html,单间出租,5,昌平沙河地铁站巩华家园东一村,551335900,http://www.xiaozhu.com/fangdong/551335900/,1,10,3室1厅2卫1厨1阳台,3,1,2,1,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,bj,
2651241463,"39.847206,116.487163",58,http://bj.xiaozhu.com/fangzi/2651241463.html,床位出租,4,朝阳十八里店南桥后祁庄,1222783805,http://www.xiaozhu.com/fangdong/1222783805/,1,26,1室0厅1卫1厨0阳台,1,0,1,1,0,2,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
4884446614,"39.899802,116.344173",58,http://bj.xiaozhu.com/fangzi/4884446614.html,床位出租,0,西城广安门外大街305号荣丰2008小区,4515476313,http://www.xiaozhu.com/fangdong/4515476313/,1,40,1室0厅1卫1厨1阳台,1,0,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
5226780914,"39.931519,116.618452",58,http://bj.xiaozhu.com/fangzi/5226780914.html,沙发出租,0,朝阳金隅丽景园4号楼,1370832935,http://www.xiaozhu.com/fangdong/1370832935/,2,56,1室1厅1卫1厨1阳台,1,1,1,1,1,2,2,与房东合住可能与房东或其他房客分享一个房间,1,bj,
2957493363,"40.0798,116.413586",58,http://bj.xiaozhu.com/fangzi/2957493363.html,单间出租,4,昌平天通苑西二区4号楼,2661283663,http://www.xiaozhu.com/fangdong/2661283663/,1,12,4室0厅1卫0厨0阳台,4,0,1,0,0,2,4,可能与其他房客分住不同房间,1,bj,
