hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY
631340400,"30.658525,104.148064",58,http://cd.xiaozhu.com/fangzi/631340400.html,单间出租,4,成华五桂桥槐树店路40号宏苑,627176400,http://www.xiaozhu.com/fangdong/627176400/,1,15,3室2厅2卫1厨1阳台,3,2,2,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cd
1119848678,"30.664204,104.011597",60,http://cd.xiaozhu.com/fangzi/1119848678.html,单间出租,0,武侯沙堰街,983812460,http://www.xiaozhu.com/fangdong/983812460/,1,15,3室2厅1卫1厨1阳台,3,2,1,1,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cd
39940200,"30.60729,104.154251",58,http://cd.xiaozhu.com/fangzi/39940200.html,单间出租,4,锦江静安路3号,29078800,http://www.xiaozhu.com/fangdong/29078800/,1,18,1室0厅1卫0厨0阳台,1,0,1,0,0,2,4,可能与其他房客分住不同房间,1,cd
39933900,"30.613546,104.124184",58,http://cd.xiaozhu.com/fangzi/39933900.html,单间出租,4,四川省成都市锦江区,29078800,http://www.xiaozhu.com/fangdong/29078800/,1,15,1室0厅1卫0厨0阳台,1,0,1,0,0,2,4,可能与其他房客分住不同房间,1,cd
2914247663,"30.615863,104.063312",49,http://cd.xiaozhu.com/fangzi/2914247663.html,单间出租,4,武侯新光路68号（新光花园）,2498955663,http://www.xiaozhu.com/fangdong/2498955663/,1,10,3室1厅1卫1厨1阳台,3,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cd
3883803530,"30.689864,104.097212",49,http://cd.xiaozhu.com/fangzi/3883803530.html,单间出租,2,金牛树蓓街42号小区一幢,3510477829,http://www.xiaozhu.com/fangdong/3510477829/,1,15,2室1厅1卫1厨0阳台,2,1,1,1,0,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cd
2844758562,"30.684321,103.893481",60,http://cd.xiaozhu.com/fangzi/2844758562.html,单间出租,4,温江光华大道三段奥林匹克花园21栋,2716195663,http://www.xiaozhu.com/fangdong/2716195663/,1,13,3室1厅1卫1厨1阳台,3,1,1,1,1,4,4,可能与其他房客分住不同房间,1,cd
39924200,"30.613546,104.124184",58,http://cd.xiaozhu.com/fangzi/39924200.html,单间出租,4,四川省成都市锦江区,29078800,http://www.xiaozhu.com/fangdong/29078800/,1,15,1室0厅1卫0厨0阳台,1,0,1,0,0,2,4,可能与其他房客分住不同房间,1,cd
3309370430,"30.6495,104.023859",38,http://cd.xiaozhu.com/fangzi/3309370430.html,单间出租,5,武侯双安东巷,2548301263,http://www.xiaozhu.com/fangdong/2548301263/,1,10,4室1厅1卫1厨2阳台,4,1,1,1,2,2,4,可能与其他房客分住不同房间,1,cd
1412274935,"30.631454,104.087975",56,http://cd.xiaozhu.com/fangzi/1412274935.html,单间出租,4,武侯郭家桥北街,1398301135,http://www.xiaozhu.com/fangdong/1398301135/,1,18,4室1厅1卫1厨1阳台,4,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cd
3950446929,"30.689864,104.097212",39,http://cd.xiaozhu.com/fangzi/3950446929.html,单间出租,3,金牛树蓓街42号小区一幢,3510477829,http://www.xiaozhu.com/fangdong/3510477829/,1,10,2室1厅1卫1厨0阳台,2,1,1,1,0,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cd
2145034759,"30.650922,104.068994",60,http://cd.xiaozhu.com/fangzi/2145034759.html,单间出租,4,武侯黉门街1号黉门公馆,2144222960,http://www.xiaozhu.com/fangdong/2144222960/,1,10,6室1厅2卫1厨0阳台,6,1,2,1,0,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cd
1412057634,"30.631454,104.087975",56,http://cd.xiaozhu.com/fangzi/1412057634.html,单间出租,2,武侯郭家桥北街,1398301135,http://www.xiaozhu.com/fangdong/1398301135/,1,18,4室1厅1卫1厨1阳台,4,1,1,1,1,2,4,可能与其他房客分住不同房间,1,cd
2467230863,"30.554531,104.089839",55,http://cd.xiaozhu.com/fangzi/2467230863.html,单间出租,4,高新中和大道二段69好红树湾二期,2467182363,http://www.xiaozhu.com/fangdong/2467182363/,1,16,5室1厅2卫1厨2阳台,5,1,2,1,2,2,4,可能与其他房客分住不同房间,1,cd
2493195563,"30.693963,104.068659",35,http://cd.xiaozhu.com/fangzi/2493195563.html,沙发出租,1,金牛西北桥街33号,808823238,http://www.xiaozhu.com/fangdong/808823238/,2,85,2室1厅1卫1厨2阳台,2,1,1,1,2,1,2,与房东合住可能与房东或其他房客分享一个房间,1,cd
2613794562,"30.695174,104.026934",60,http://cd.xiaozhu.com/fangzi/2613794562.html,床位出租,1,金牛蜀汉路289号锦城苑,2613237163,http://www.xiaozhu.com/fangdong/2613237163/,1,30,5室2厅3卫1厨1阳台,5,2,3,1,1,3,2,与房东合住可能与房东或其他房客分享一个房间,3,cd
