hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY
2477431762,"29.677437,106.604308",49,http://cq.xiaozhu.com/fangzi/2477431762.html,沙发出租,0,渝北宝圣大道金鹏两江时光,1458824635,http://www.xiaozhu.com/fangdong/1458824635/,1,25,2室2厅1卫1厨1阳台,2,2,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,cq
3651352729,"30.829,108.376616",49,http://cq.xiaozhu.com/fangzi/3651352729.html,单间出租,0,万州周家坝街道天凤路123号,1255777335,http://www.xiaozhu.com/fangdong/1255777335/,1,15,6室1厅2卫1厨1阳台,6,1,2,1,1,1,4,可能与其他房客分住不同房间,1,cq
680873400,"29.584883,106.536049",48,http://cq.xiaozhu.com/fangzi/680873400.html,单间出租,4,江北观音桥北城天街旁,266890300,http://www.xiaozhu.com/fangdong/266890300/,1,5,3室0厅1卫1厨2阳台,3,0,1,1,2,1,4,可能与其他房客分住不同房间,1,cq
3477273830,"29.362745,105.924201",48,http://cq.xiaozhu.com/fangzi/3477273830.html,单间出租,0,永川卧龙路,3380246129,http://www.xiaozhu.com/fangdong/3380246129/,1,15,3室2厅2卫1厨1阳台,3,2,2,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cq
2110134259,"29.613151,106.562124",58,http://cq.xiaozhu.com/fangzi/2110134259.html,单间出租,4,渝北重庆北站南广场往东300米渝铁家苑小区,1526074035,http://www.xiaozhu.com/fangdong/1526074035/,1,8,5室1厅5卫1厨1阳台,5,1,5,1,1,1,4,可能与其他房客分住不同房间,1,cq
2067845482,"29.627587,106.34497",60,http://cq.xiaozhu.com/fangzi/2067845482.html,单间出租,4,沙坪坝陈家桥广场永辉,2067727682,http://www.xiaozhu.com/fangdong/2067727682/,1,15,3室1厅2卫1厨1阳台,3,1,2,1,1,6,4,可能与其他房客分住不同房间,1,cq
4484393314,"29.588443,106.569333",59,http://cq.xiaozhu.com/fangzi/4484393314.html,沙发出租,0,江北渝能明日城市,4475320213,http://www.xiaozhu.com/fangdong/4475320213/,1,40,1室1厅1卫1厨0阳台,1,1,1,1,0,2,2,与房东合住可能与房东或其他房客分享一个房间,1,cq
3875267130,"29.60895,106.556478",60,http://cq.xiaozhu.com/fangzi/3875267130.html,单间出租,1,渝北狮子坪地铁站保利香槟花园C区,3871901029,http://www.xiaozhu.com/fangdong/3871901029/,1,6,2室1厅1卫2厨1阳台,2,1,1,2,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cq
4318802014,"29.536118,106.45878",60,http://cq.xiaozhu.com/fangzi/4318802014.html,单间出租,0,沙坪坝凤天大道126号,1190933965,http://www.xiaozhu.com/fangdong/1190933965/,1,12,3室2厅2卫1厨2阳台,3,2,2,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,cq
2735734662,"29.465352,106.534244",60,http://cq.xiaozhu.com/fangzi/2735734662.html,单间出租,0,巴南李家沱红光大道一城南溪书香,2005602271,http://www.xiaozhu.com/fangdong/2005602271/,1,10,2室0厅1卫1厨0阳台,2,0,1,1,0,2,4,可能与其他房客分住不同房间,1,cq
