hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY
2802881063,"30.403301,120.314961",60,http://hz.xiaozhu.com/fangzi/2802881063.html,沙发出租,2,余杭临平街道南大街255号贝利.海澜半岛7幢,2379784763,http://www.xiaozhu.com/fangdong/2379784763/,1,25,2室1厅1卫1厨2阳台,2,1,1,1,2,1,2,与房东合住可能与房东或其他房客分享一个房间,1,hz
2630896162,"30.253075,120.023875",45,http://hz.xiaozhu.com/fangzi/2630896162.html,沙发出租,4,余杭五常街道高教路西溪华东园,1949188571,http://www.xiaozhu.com/fangdong/1949188571/,1,35,5室1厅2卫1厨3阳台,5,1,2,1,3,1,2,与房东合住可能与房东或其他房客分享一个房间,1,hz
1602108035,"30.211645,120.2761",59,http://hz.xiaozhu.com/fangzi/1602108035.html,床位出租,4,萧山经济开发区,761594738,http://www.xiaozhu.com/fangdong/761594738/,2,60,1室1厅1卫1厨0阳台,1,1,1,1,0,3,2,与房东合住可能与房东或其他房客分享一个房间,2,hz
3443249229,"30.25301,120.175309",66,http://hz.xiaozhu.com/fangzi/3443249229.html,单间出租,2,上城比胜庙巷13号,1446675535,http://www.xiaozhu.com/fangdong/1446675535/,1,15,3室1厅1卫1厨1阳台,3,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,hz
2410291963,"30.282324,120.108521",68,http://hz.xiaozhu.com/fangzi/2410291963.html,沙发出租,4,西湖文三西路472号,2410260263,http://www.xiaozhu.com/fangdong/2410260263/,2,80,3室1厅1卫1厨1阳台,3,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,hz
2734984663,"30.327099,120.127207",68,http://hz.xiaozhu.com/fangzi/2734984663.html,床位出租,1,拱墅富越香郡,2023137782,http://www.xiaozhu.com/fangdong/2023137782/,1,15,4室1厅1卫1厨1阳台,4,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,hz
1497951135,"30.272038,120.366379",70,http://hz.xiaozhu.com/fangzi/1497951135.html,沙发出租,4,江干保利湾天地,1497922835,http://www.xiaozhu.com/fangdong/1497922835/,1,20,2室1厅2卫1厨2阳台,2,1,2,1,2,1,2,与房东合住可能与房东或其他房客分享一个房间,1,hz
3762641430,"30.313662,120.132426",70,http://hz.xiaozhu.com/fangzi/3762641430.html,沙发出租,0,拱墅（莫干山路登云路口）登云路425号和睦院,3759316329,http://www.xiaozhu.com/fangdong/3759316329/,1,30,1室1厅1卫1厨1阳台,1,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,hz
4187770929,"30.291774,120.045335",72,http://hz.xiaozhu.com/fangzi/4187770929.html,单间出租,1,余杭文一西路荆长路以东200米,3027810629,http://www.xiaozhu.com/fangdong/3027810629/,1,10,2室1厅2卫1厨0阳台,2,1,2,1,0,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,hz
2400457962,"30.253075,120.023875",75,http://hz.xiaozhu.com/fangzi/2400457962.html,单间出租,4,余杭五常街道高教路西溪华东园,1949188571,http://www.xiaozhu.com/fangdong/1949188571/,1,14,5室1厅2卫1厨3阳台,5,1,2,1,3,3,1,与房东分别住不同房间可能与其他房客分住不同房间,1,hz
3572494930,"30.284896,120.191029",75,http://hz.xiaozhu.com/fangzi/3572494930.html,单间出租,0,下城流水东苑,1259034135,http://www.xiaozhu.com/fangdong/1259034135/,1,8,2室2厅1卫1厨1阳台,2,2,1,1,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,hz
