hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY
1863532734,"31.187935,121.305527",50,http://sh.xiaozhu.com/fangzi/1863532734.html,沙发出租,5,青浦诸光路1355弄,888019059,http://www.xiaozhu.com/fangdong/888019059/,2,90,7室1厅4卫1厨3阳台,7,1,4,1,3,1,2,与房东合住可能与房东或其他房客分享一个房间,3,sh
2509685963,"31.285584,121.148566",50,http://sh.xiaozhu.com/fangzi/2509685963.html,单间出租,4,嘉定外青松公路,2482706763,http://www.xiaozhu.com/fangdong/2482706763/,1,25,2室2厅1卫1厨2阳台,2,2,1,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,sh
1032078860,"30.993612,121.437683",58,http://sh.xiaozhu.com/fangzi/1032078860.html,单间出租,3,奉贤鸿宝二村,1031956460,http://www.xiaozhu.com/fangdong/1031956460/,1,6,3室1厅1卫1厨1阳台,3,1,1,1,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,sh
3286307129,"31.342539,121.598739",49,http://sh.xiaozhu.com/fangzi/3286307129.html,单间出租,2,浦东秋霞路39号,1232134005,http://www.xiaozhu.com/fangdong/1232134005/,1,11,3室2厅1卫1厨1阳台,3,2,1,1,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,sh
1585356035,"31.189684,121.361008",59,http://sh.xiaozhu.com/fangzi/1585356035.html,沙发出租,3,长宁程家桥街道,1381887535,http://www.xiaozhu.com/fangdong/1381887535/,2,58,2室1厅1卫1厨1阳台,2,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
3224505430,"31.241909,121.330293",60,http://sh.xiaozhu.com/fangzi/3224505430.html,单间出租,4,嘉定泰辰沙河名苑,2631875263,http://www.xiaozhu.com/fangdong/2631875263/,1,8,3室0厅1卫0厨2阳台,3,0,1,0,2,1,4,可能与其他房客分住不同房间,1,sh
2086115982,"31.083598,121.519917",60,http://sh.xiaozhu.com/fangzi/2086115982.html,沙发出租,1,闵行恒南路899号旭辉国际39号,645638300,http://www.xiaozhu.com/fangdong/645638300/,2,45,1室1厅1卫1厨0阳台,1,1,1,1,0,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
4278338313,"31.222937,121.369644",60,http://sh.xiaozhu.com/fangzi/4278338313.html,沙发出租,0,长宁新泾八村,4272044913,http://www.xiaozhu.com/fangdong/4272044913/,2,88,2室1厅1卫1厨1阳台,2,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
2882625462,"31.242228,121.318297",55,http://sh.xiaozhu.com/fangzi/2882625462.html,床位出租,3,嘉定金耀南路300弄,343738100,http://www.xiaozhu.com/fangdong/343738100/,1,25,3室1厅1卫0厨0阳台,3,1,1,0,0,1,3,可能与其他房客分享一个房间,2,sh
3446457130,"31.110832,121.579098",60,http://sh.xiaozhu.com/fangzi/3446457130.html,床位出租,0,浦东繁荣华庭,1409779735,http://www.xiaozhu.com/fangdong/1409779735/,2,78,2室1厅1卫1厨2阳台,2,1,1,1,2,1,3,可能与其他房客分享一个房间,1,sh
3678529130,"31.266343,121.356244",55,http://sh.xiaozhu.com/fangzi/3678529130.html,单间出租,0,嘉定海蓝路,1069070478,http://www.xiaozhu.com/fangdong/1069070478/,1,12,3室1厅1卫1厨2阳台,3,1,1,1,2,1,4,可能与其他房客分住不同房间,1,sh
3306114829,"31.241909,121.330293",60,http://sh.xiaozhu.com/fangzi/3306114829.html,床位出租,2,嘉定泰辰沙河名苑,2631875263,http://www.xiaozhu.com/fangdong/2631875263/,1,20,3室1厅1卫0厨2阳台,3,1,1,0,2,1,3,可能与其他房客分享一个房间,2,sh
1879344634,"31.253313,121.557396",59,http://sh.xiaozhu.com/fangzi/1879344634.html,沙发出租,5,浦东洋泾社区浦东大道崮山路(鼎隆大厦),1258712435,http://www.xiaozhu.com/fangdong/1258712435/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
3198426429,"31.306217,121.333046",49,http://sh.xiaozhu.com/fangzi/3198426429.html,沙发出租,0,嘉定南翔旭辉u天地宝翔路158号,1532385435,http://www.xiaozhu.com/fangdong/1532385435/,1,18,3室1厅2卫1厨1阳台,3,1,2,1,1,2,3,可能与其他房客分享一个房间,1,sh
1219717105,"31.229799,121.236267",50,http://sh.xiaozhu.com/fangzi/1219717105.html,沙发出租,5,青浦新凤中路,888019059,http://www.xiaozhu.com/fangdong/888019059/,1,20,3室2厅1卫1厨1阳台,3,2,1,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
3991023529,"31.113084,121.272457",60,http://sh.xiaozhu.com/fangzi/3991023529.html,床位出租,0,松江横港路643号金港花园2期河滨华城,1532385435,http://www.xiaozhu.com/fangdong/1532385435/,1,25,3室1厅1卫1厨1阳台,3,1,1,1,1,2,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
4556753614,"31.027293,121.144282",60,http://sh.xiaozhu.com/fangzi/4556753614.html,单间出租,0,松江中德路855号,3327256929,http://www.xiaozhu.com/fangdong/3327256929/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,sh
1362806735,"31.101822,121.509987",65,http://sh.xiaozhu.com/fangzi/1362806735.html,沙发出租,5,闵行浦江街道,826759538,http://www.xiaozhu.com/fangdong/826759538/,2,120,3室2厅2卫1厨1阳台,3,2,2,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
2302755127,"31.221046,121.409763",66,http://sh.xiaozhu.com/fangzi/2302755127.html,床位出租,5,长宁云雾山路民生里221弄,2302741427,http://www.xiaozhu.com/fangdong/2302741427/,2,45,1室1厅1卫1厨0阳台,1,1,1,1,0,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
2643974263,"31.241253,121.32876",68,http://sh.xiaozhu.com/fangzi/2643974263.html,床位出租,4,嘉定鹤友路36号泰宸沙河名苑,2631875263,http://www.xiaozhu.com/fangdong/2631875263/,1,16,2室2厅1卫2厨2阳台,2,2,1,2,2,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
2553267663,"31.342539,121.598739",68,http://sh.xiaozhu.com/fangzi/2553267663.html,单间出租,4,浦东秋霞路39号,1232134005,http://www.xiaozhu.com/fangdong/1232134005/,1,18,5室0厅2卫1厨2阳台,5,0,2,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,sh
3327761529,"31.112605,121.39763",68,http://sh.xiaozhu.com/fangzi/3327761529.html,单间出租,4,闵行名都路,3220070229,http://www.xiaozhu.com/fangdong/3220070229/,1,8,4室2厅1卫1厨1阳台,4,2,1,1,1,1,4,可能与其他房客分住不同房间,1,sh
3883365130,"31.214066,121.678616",68,http://sh.xiaozhu.com/fangzi/3883365130.html,沙发出租,0,浦东唐镇顾唐路3281号齐友佳苑,3883299529,http://www.xiaozhu.com/fangdong/3883299529/,1,15,2室2厅1卫1厨1阳台,2,2,1,1,1,2,2,与房东合住可能与房东或其他房客分享一个房间,2,sh
3197796135,"31.130679,121.509592",68,http://sh.xiaozhu.com/fangzi/3197796135.html,单间出租,2,浦东三舒路62弄城林雅苑,1181694735,http://www.xiaozhu.com/fangdong/1181694735/,2,75,2室1厅1卫1厨1阳台,2,1,1,1,1,2,4,可能与其他房客分住不同房间,1,sh
3287363730,"31.113084,121.272457",68,http://sh.xiaozhu.com/fangzi/3287363730.html,单间出租,0,松江横港路643号金港花园2期河滨华城,1532385435,http://www.xiaozhu.com/fangdong/1532385435/,1,9,3室1厅2卫1厨1阳台,3,1,2,1,1,1,4,可能与其他房客分住不同房间,1,sh
3541557330,"31.059031,121.235818",68,http://sh.xiaozhu.com/fangzi/3541557330.html,单间出租,0,松江梅家浜路1508弄,2674919963,http://www.xiaozhu.com/fangdong/2674919963/,1,15,2室2厅1卫1厨2阳台,2,2,1,1,2,2,4,可能与其他房客分住不同房间,1,sh
1813642435,"31.241579,121.329535",69,http://sh.xiaozhu.com/fangzi/1813642435.html,床位出租,4,嘉定江桥金运路鹤友路38号,1183057535,http://www.xiaozhu.com/fangdong/1183057535/,1,15,4室1厅2卫1厨1阳台,4,1,2,1,1,1,2,与房东合住可能与房东或其他房客分享一个房间,1,sh
