hid,location,price,link,type,comNum,houseName,fdid,fdlink,area_type,area,rooms,bedroom,livingroom,bathroom,kitchen,balcony,guestsnum,category,living_condition,beds,CITY
4026311329,"31.339339,120.619577",58,http://su.xiaozhu.com/fangzi/4026311329.html,床位出租,1,平江港龙柏悦公馆,2527153363,http://www.xiaozhu.com/fangdong/2527153363/,2,75,2室1厅1卫1厨0阳台,2,1,1,1,0,1,2,与房东合住可能与房东或其他房客分享一个房间,1,su
1921467271,"31.283873,120.548805",60,http://su.xiaozhu.com/fangzi/1921467271.html,单间出租,2,虎丘新升新苑,921618959,http://www.xiaozhu.com/fangdong/921618959/,1,20,2室2厅1卫1厨1阳台,2,2,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
2482385063,"31.182513,120.920465",60,http://su.xiaozhu.com/fangzi/2482385063.html,单间出租,0,昆山锦溪古镇,105209100,http://www.xiaozhu.com/fangdong/105209100/,1,18,2室1厅1卫1厨1阳台,2,1,1,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
3241838930,"31.296672,120.611701",66,http://su.xiaozhu.com/fangzi/3241838930.html,单间出租,2,沧浪胥江新村36幢,3240991229,http://www.xiaozhu.com/fangdong/3240991229/,1,10,2室1厅1卫1厨1阳台,2,1,1,1,1,1,4,可能与其他房客分住不同房间,1,su
3206137229,"31.336883,120.72227",69,http://su.xiaozhu.com/fangzi/3206137229.html,单间出租,4,园区九华路118号,3087322029,http://www.xiaozhu.com/fangdong/3087322029/,1,12,4室2厅2卫1厨1阳台,4,2,2,1,1,1,4,可能与其他房客分住不同房间,1,su
2507911163,"31.393428,120.616819",69,http://su.xiaozhu.com/fangzi/2507911163.html,单间出租,4,相城玉窑路“玉成家园”35幢,1714048635,http://www.xiaozhu.com/fangdong/1714048635/,1,20,2室1厅1卫1厨2阳台,2,1,1,1,2,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
3059294629,"31.249107,120.755824",69,http://su.xiaozhu.com/fangzi/3059294629.html,整租,1,园区独墅湖鸿顺花苑,3059240629,http://www.xiaozhu.com/fangdong/3059240629/,2,16,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,su
716534039,"31.286032,120.577141",75,http://su.xiaozhu.com/fangzi/716534039.html,单间出租,4,虎丘黄浦街8号,658122600,http://www.xiaozhu.com/fangdong/658122600/,1,8,3室1厅1卫1厨1阳台,3,1,1,1,1,1,4,可能与其他房客分住不同房间,1,su
2720580362,"31.11903,120.860381",80,http://su.xiaozhu.com/fangzi/2720580362.html,单间出租,3,昆山周庄,2678589263,http://www.xiaozhu.com/fangdong/2678589263/,1,10,5室1厅4卫1厨0阳台,5,1,4,1,0,2,4,可能与其他房客分住不同房间,1,su
720938939,"31.285839,120.576683",85,http://su.xiaozhu.com/fangzi/720938939.html,单间出租,4,虎丘黄浦街8号,658122600,http://www.xiaozhu.com/fangdong/658122600/,1,20,3室1厅1卫1厨1阳台,3,1,1,1,1,2,4,可能与其他房客分住不同房间,1,su
1205184205,"31.24894,120.755516",88,http://su.xiaozhu.com/fangzi/1205184205.html,整租,4,园区车坊镇,1205145805,http://www.xiaozhu.com/fangdong/1205145805/,2,18,1室0厅1卫0厨0阳台,1,0,1,0,0,2,5,房客独享整套房屋,1,su
650558801,"31.297504,120.632637",88,http://su.xiaozhu.com/fangzi/650558801.html,整租,5,沧浪竹辉路,638753400,http://www.xiaozhu.com/fangdong/638753400/,2,20,1室1厅1卫0厨1阳台,1,1,1,0,1,2,5,房客独享整套房屋,1,su
716821739,"31.285452,120.576645",88,http://su.xiaozhu.com/fangzi/716821739.html,单间出租,5,虎丘黄浦街8号,658122600,http://www.xiaozhu.com/fangdong/658122600/,1,18,3室1厅1卫1厨1阳台,3,1,1,1,1,2,4,可能与其他房客分住不同房间,1,su
3488315829,"31.29817,120.635999",89,http://su.xiaozhu.com/fangzi/3488315829.html,单间出租,3,平江养蚕里23幢,3240991229,http://www.xiaozhu.com/fangdong/3240991229/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,2,4,可能与其他房客分住不同房间,1,su
4167531629,"31.334389,120.633851",89,http://su.xiaozhu.com/fangzi/4167531629.html,单间出租,1,平江北园路19号,4166713329,http://www.xiaozhu.com/fangdong/4166713329/,1,10,3室2厅1卫1厨1阳台,3,2,1,1,1,1,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
3296145729,"31.296672,120.611701",89,http://su.xiaozhu.com/fangzi/3296145729.html,单间出租,1,沧浪胥江新村36幢,3240991229,http://www.xiaozhu.com/fangdong/3240991229/,1,20,2室1厅1卫1厨1阳台,2,1,1,1,1,2,4,可能与其他房客分住不同房间,1,su
3196387967,"31.336883,120.72227",89,http://su.xiaozhu.com/fangzi/3196387967.html,单间出租,0,园区九华路118号,3087322029,http://www.xiaozhu.com/fangdong/3087322029/,1,25,4室2厅2卫1厨1阳台,4,2,2,1,1,2,1,与房东分别住不同房间可能与其他房客分住不同房间,1,su
