hid,did,uid,uname,ulink,checkindate,content,reply,CITY
680873400,3665529328,1985249071,荳豆龍,http://www.xiaozhu.com/fangke/1985249071/,2016-01,交通方便，吃东西的方便，观音桥边边，一切都好，唯一需要提高的是wifi信号有点差，网速不太给力,,cq
680873400,3070027128,2984471863,小马先生丶,http://www.xiaozhu.com/fangke/2984471863/,2016-05,房东不错，交通不错。,,cq
680873400,2929634462,2836850463,陈莽子,http://www.xiaozhu.com/fangke/2836850463/,2016-05,房东好。房子也可以。就是有点吵,,cq
680873400,2534621062,2419624863,YM专属BIGMONSTER,http://www.xiaozhu.com/fangke/2419624863/,2016-03,帮朋友预定的 交通很方便,很不错的租客。欢迎再来哦。,cq
680873400,2237498544,2084748382,8yjr,http://www.xiaozhu.com/fangke/2084748382/,2016-02,小区虽然很老但是屋里收拾得很干净，地理位置卓越,住的舒心，谢谢！,cq
680873400,1613993934,1603011935,Leo_赵,http://www.xiaozhu.com/fangke/1603011935/,2015-10,整体还是很好的，只是周边环境的确是老旧小区，临街稍微有点吵。但是房东非常好，性价比很高。,谢谢中肯的评价！,cq
2110134259,4468754512,1208190905,inkhikol,http://www.xiaozhu.com/fangke/1208190905/,2016-09,房子在火车站旁边，下来之后绕过南广场大概再有两百米的距离就可以到了，是火车站直对过去的高层房子，房主很客气，服务尽善，有需要或者问题会及时帮忙解决。从住的地方去市中心或者主要景点基本一路公交车，40分钟左右可以到达，重庆有点堵，这个时间还可以了。另外，房子周围还是很热闹的，晚上晚点回来也不用担心。,,cq
2110134259,4191216628,1583206635,tonnage,http://www.xiaozhu.com/fangke/1583206635/,2016-07,房主越来越贴心了,,cq
2110134259,3983177828,1583206635,tonnage,http://www.xiaozhu.com/fangke/1583206635/,2016-07,第三次入住，一如既往的好,感谢一如既往的支持！！,cq
2110134259,3806744328,1642211035,Amns阿梅,http://www.xiaozhu.com/fangke/1642211035/,2016-07,房东人很好，房间还行，这个价格也挺实惠的，期待下次继续去入住,谢谢您的肯定 我们公寓近期还有更多房间上线，欢迎再来体验！,cq
