hid,did,uid,uname,ulink,checkindate,content,reply,CITY
2802881063,3797981128,3779517329,陶先生你好,http://www.xiaozhu.com/fangke/3779517329/,2016-07,环境不错，还有空调，地铁就在旁边。,谢谢小弟的点评，希望早日早到好工作,hz
2802881063,3399435428,3368457129,爱俊杰的佳妮,http://www.xiaozhu.com/fangke/3368457129/,2016-06,房东姐姐和哥哥人都超好，在姐姐家拍了戏很麻烦他们，中间也尽量保持静音配合我们，真的非常感谢,妹子人不错！在家里拍戏途中很维护家里的卫生以及家里的东西、,hz
2630896162,4626205712,4578467413,kabosu,http://www.xiaozhu.com/fangke/4578467413/,2016-09,不错，就是稍微远点，舒适度很高~,,hz
2630896162,3769946628,3643590929,葛林飞,http://www.xiaozhu.com/fangke/3643590929/,2016-07,房屋整洁干净，空间大，房东人很好说话，其他租客都挺和善。因为我要去市区，而坐公交需要走一段路，对我来说比较困扰。,感谢入住哦～希望下次给你带来更好的体验啦！来西溪湿地玩儿的时候可以再来哦!,hz
2630896162,3636007728,3404907029,JoannaR,http://www.xiaozhu.com/fangke/3404907029/,2016-07,姐姐人超级好！特别温馨的一个家！而且感觉又学到了很多！又成长了一些！?,跳街舞的小女孩儿，人特别可爱！有机会再见！,hz
2630896162,3576098228,3543094529,旅行者1212,http://www.xiaozhu.com/fangke/3543094529/,2016-07,房子很好，比宾馆都好,感谢选择我们家！下次有机会再见！,hz
2630896162,3520678028,3450233729,germ,http://www.xiaozhu.com/fangke/3450233729/,2016-06,各方面都很好，好评,谢谢入住啦，有机会再见面～,hz
2630896162,3357373428,3306751429,猫娘大人yuyi,http://www.xiaozhu.com/fangke/3306751429/,2016-06,哈哈哈对于我这种要进杭州市区的人来说 稍微有点点远 但是交通还是很方便的 b4可以直达附近 嗯 房东很漂亮！房东的馒头很好吃,可爱的大学生摄影师，感谢入住～,hz
2630896162,3302854128,1426124135,head,http://www.xiaozhu.com/fangke/1426124135/,2016-06,很好服務熱情下次再來,感谢入住，祝事业有成～,hz
2630896162,3286439228,3117923029,JackieCheng,http://www.xiaozhu.com/fangke/3117923029/,2016-06,房东人很好。房子也够大，全屋中央空调，性价比高，跟房东熟悉后说不定还能带你去阿里转一转，我问rancho说评论1000个赞够不够，rancho说还是10001个吧，怎奈何这里只能打2000字，那就只能运用数学公式了，（赞x10000）+1，哈哈哈！机智如我,哈哈哈哈，很好玩的男孩子啊！相处很开心，下次再来玩好吗～,hz
2630896162,2923253262,2912159763,辛宿,http://www.xiaozhu.com/fangke/2912159763/,2016-05,非常满意的一次入住。虽然是沙发，但是也很大，价格实惠，性价比是很高的，而且环境好，干净整洁。重点是房东人也很好，很耐心的跟我讲路线，非常感谢！,很可爱朴实的小姑娘，话不多但很有礼貌！希望有机会再见～,hz
2630896162,2916661062,2713281963,bob_,http://www.xiaozhu.com/fangke/2713281963/,2016-05,对我来说除了地理位置有些偏，其他都非常好，比青年旅舍好太多，,来杭州工作的运营哥们～人很好，和蔼可亲哈哈！希望能再见！,hz
2630896162,2862136762,2122145760,laponia,http://www.xiaozhu.com/fangke/2122145760/,2016-04,两位房主都是很有个性的女生，简单自然，不矫揉造作，相处得像朋友一样轻松自在。聊共同爱好的彩妆，满满的心声呐，特别开心。房主事无巨细地帮助房客解决各种问题，很友善，很值得入住哦！推荐推荐！,很投缘的女孩子，很有话题聊，人也超好，我搬东西也会帮我搬，还会帮忙搞卫生倒垃圾，人特别特别好，素质特别高，懂的东西也很多，而且还可以一起聊化妆！简直棒呆棒呆！希望有机会还能再见！后会有期.,hz
1602108035,4165477728,4095720429,火山哥在杭州,http://www.xiaozhu.com/fangke/4095720429/,2016-08,房子虽然不大，但该有的都有了。地铁就在楼下，小吃也好找。不错的一次入住。就是有点影响你们休息了，抱歉。,很让人省心的房客，很有计划地到杭州找工作，早上很早就到了，只能先去吃个早饭再来找我开门，很有礼貌。走的时候也把家里稍微收拾了一下，祝在杭州工作顺利！,hz
1602108035,4028045228,930911059,maoxiao7777,http://www.xiaozhu.com/fangke/930911059/,2016-08,非常不错的一次入住体验。周边交通很便利，就是离市区有一点远。沙发有点短，不过对于我们只入住几天的租客影响不大，而且价格也很合理。房东人很好沟通。给个赞,很巧也是学医的，而且连专业都一样！很有礼貌，很健谈，也很讲卫生，走的时候都是把床铺收拾干净，欢迎下次再来！,hz
1602108035,3753426828,3733780329,陆思恩,http://www.xiaozhu.com/fangke/3733780329/,2016-07,感觉不错，两位房东挺热情的,到杭州以来接待的年龄最小的房客啦！刚来可能还有点拘谨，毕竟也是头一次到杭州来。刚刚大二就要创业，小伙子很有前途，祝考察顺利~,hz
1602108035,2696184362,2519498963,zwk9lz,http://www.xiaozhu.com/fangke/2519498963/,2016-04,很好阿。 在杭州玩了几天。 房东超好了。 我走时还请我吃了早餐了。 三十六个赞。,弟弟年龄不大，自己在工作之余出游，还是很好的，可惜最近我们工作比较忙，有点早出晚归回来还在加班，没能好好聊一下，以后有机会也可以到北京哒，欢迎,hz
1602108035,2508283962,2383624163,cocos,http://www.xiaozhu.com/fangke/2383624163/,2016-03,房子非常干净，就在地铁旁，出行很方便，房东人也非常好，走的时候充电器落那里了，房东直接给邮寄过来了，太赞了，强烈推荐去杭州的朋友入住,由于上班比较忙，没有及时接待，不过美女自己找路过来的，从我邻居那里找到了钥匙。相处很愉快，希望在杭州找到合适的工作，以后都在杭州，有机会一起出去玩,hz
