hid,did,uid,uname,ulink,checkindate,content,reply,CITY
4026311329,4475840512,4449211113,王晓方,http://www.xiaozhu.com/fangke/4449211113/,2016-09,很不错的入住体验。卫生整洁交通便利，室友很友好很可爱，房东人很nice，下次还会再选择,good！很好的姑娘，感谢有缘在小屋相遇！希望下次继续青春里！,su
1921467271,4509530512,4362228813,姚立宝,http://www.xiaozhu.com/fangke/4362228813/,2016-09,感觉很好，房东大姐人很亲切，唯独就是WiFi不太稳定,房客挺不错，走的时候帮忙整理了。欢迎下次再入住。,su
1921467271,4193718728,2919899763,候鸟西南飞,http://www.xiaozhu.com/fangke/2919899763/,2016-08,交通方便，地铁公交都有，可以方便地去平江路、山塘街、月光码头、木渎古镇，附近有美罗、大教堂、糖果乐园、水上世界、苏州乐园，可以做饭，小区里有菜场，房东美丽、热情、大方……,帅哥人很好，爱干净，还帮忙打扫了卫生，很感谢。相处很融洽，是个热情活泼的小伙子，欢迎下次继续入住哈。哈哈估计苏州他玩的地方比我还多呀，只怪自己太宅喽，一切顺利，每天开心哈,su
3241838930,4301594012,3991187829,VIP深碎犰狳,http://www.xiaozhu.com/fangke/3991187829/,2016-08,很乾淨，空調也好用，主人還會做粥吃，讚！,"非常非常easy-going的小哥，旅途顺利喔, 常驻苏州的话，真的会成为特棒的好朋友，毫无疑问！",su
3241838930,3653861028,3296895329,雪枫皑皑,http://www.xiaozhu.com/fangke/3296895329/,2016-06,房东不错哦。很热心，也很容易相处。第一次来苏州，人生地不熟，住在这里却有一种家的感觉。总之，是一次很不错的体验，值得推荐。在这里，也祝她工作顺利，笑口常开！,人很好，特别好相处，希望可以尽快找到心仪的工作，以后长居苏州，可以做个朋友喔～,su
3206137229,4602720812,4326200013,丹丹Danica,http://www.xiaozhu.com/fangke/4326200013/,2016-09,买东西很方便,,su
3206137229,3969786628,3420518029,zzhjt,http://www.xiaozhu.com/fangke/3420518029/,2016-07,地理位置非常好，离园区最繁华的商圈不到一公里，周围开阔，人口密度也比较低，距离金鸡湖很近，环境很好跑步健身郊游很方便。地铁公交出行很多方式。房间本身是很基本的隔间，设施齐全，空调也很给力住的倒也舒服，厨房有烤箱是亮点，做饭叫外卖都很方便。社区附近有24小时超市等，生活非常便捷。房东大姐人挺好的，热心帮忙，对刚来外地的我很有帮助。总得来说体验十分积极,由于工作比较忙较少和您沟通，也不知住的情况怎么样心里一直忐忑，看到您的评价总算放心了。下次如有再来苏州出差可以再关顾小微家庭。这边的主卧大床房给您留着！祝一切顺利！,su
3206137229,3483756428,2183200693,ILovelife,http://www.xiaozhu.com/fangke/2183200693/,2016-06,小区的绿化环境带有园林构造元素，整个小区建筑格局别具风格；初次来到小区内仿佛迷了路的感觉，来来回回绕了一大圈可算找到了入住房间；不过小区附近的饮食消费确有昂贵了，有米饭的快歺店不多。相对来说去景点玩较方便，唯一感觉不足的是：房东大姐对房间管理上有些不到位，或许是因工作太忙碌而照顾不暇吧……,感谢您的宝贵意见，一定在后期改进。欢迎您下次继续关顾小微家庭,su
3206137229,3294660328,3237453529,白菜猪,http://www.xiaozhu.com/fangke/3237453529/,2016-06,"地里位置很好：在金鸡湖附近晚上就可以去金鸡湖逛逛。性价比也很高，坐公交一两站就有个广场，地铁站就在不远，老板人很好可以用厨房,,,,,,,反正这次体验很不错.",谢谢，两位年轻人光顾，非常好的两个人。希望旅途愉快！下次还能再光顾，谢谢！,su
2507911163,4498963212,2919899763,候鸟西南飞,http://www.xiaozhu.com/fangke/2919899763/,2016-09,顶楼，视野很好，很凉爽，有个露台，让我一下想起了看过的电视剧“浪漫满屋”。露台的地面处理下，墙壁装饰下，有个吊床或躺椅，放点花草，就更完美了。主人养了四只可爱调皮的小喵，有只很粘人，总想找我玩。蹭了两次饭，有家的温馨，小区停车免费……,姜帅哥人特好，很有素养，又很客气，每次让他吃早餐总很有感恩之心；对家里的小猫咪也很爱护――猫咪跑去他房间还逗玩，给猫咪拍照片……有来苏州玩希望还能再次接待……祝旅途愉快！,su
